sam_th,energy,polarization,scan,q,R,R_err
1.438,284.2,100.0,2.0,0.007228667651593525,0.5921422288271257,0.5948363398716682
1.438,284.6,100.0,3.0,0.0072388417088089995,0.507352495328322,0.5130037180071899
1.488,288.6,100.0,9.0,0.007595761683511342,0.5529998911370081,0.5670091602649348
1.492,250.0,100.0,0.0,0.006597518874219577,0.840542101532546,0.8416455071561896
1.494,285.0,100.0,4.0,0.007531251232414341,0.5087427256995246,0.5148964811035822
1.494,285.5,100.0,10.0,0.0075444639538747174,0.7851483585679359,0.8027384544669509
1.494,286.0,100.0,5.0,0.0075576766753350936,0.774709065823688,0.7792833266215371
1.494,286.5,100.0,6.0,0.00757088939679547,0.5899849570146548,0.59704557502997
1.494,287.0,100.0,7.0,0.007584102118255846,0.5861487498793354,0.5936135913856209
1.494,287.7,100.0,8.0,0.007602599928300372,0.4955370483567974,0.5052342984960516
1.5,284.0,100.0,1.0,0.007534958779718666,0.6828231768710694,0.6853145753929376
1.5,284.2,100.0,2.0,0.007540265088718468,0.6507073742412404,0.6536679432369374
1.5,284.6,100.0,3.0,0.007550877706718073,0.48507788579852773,0.490480999362536
1.548,288.6,100.0,9.0,0.007901969313923838,0.5568104725444898,0.5709162759779866
1.556,285.0,100.0,4.0,0.007843717809827426,0.5704950690755752,0.5773957812370805
1.556,285.5,100.0,10.0,0.007857478718265719,0.7043355518888762,0.7201151555365338
1.556,286.0,100.0,5.0,0.007871239626704014,0.78400096412968,0.788630088834554
1.556,286.5,100.0,6.0,0.007885000535142307,0.5450735528305816,0.5515966956684283
1.556,287.0,100.0,7.0,0.0078987614435806,0.5862413341319024,0.5937073547361073
1.556,287.7,100.0,8.0,0.00791802671539421,0.5123664197171145,0.522393006733013
1.562,284.0,100.0,1.0,0.00784632811339723,0.5979144621969712,0.600096056580084
1.562,284.2,100.0,2.0,0.00785185369657568,0.6142449557174,0.6170396290892528
1.562,284.6,100.0,3.0,0.007862904862932578,0.46184536026277767,0.4669896948192834
1.564,250.0,100.0,0.0,0.006915820540881444,0.8589466263839821,0.8600741921968471
1.61,288.6,100.0,9.0,0.008218374757864208,0.5133549276324786,0.5263598620901762
1.618,285.0,100.0,4.0,0.008156175202645043,0.48686798610155624,0.492757144509503
1.618,285.5,100.0,10.0,0.008170484281947929,0.7068883480978375,0.7227251433955015
1.618,286.0,100.0,5.0,0.008184793361250815,0.680572442146062,0.6845908743285939
1.618,286.5,100.0,6.0,0.008199102440553701,0.6072672760825815,0.6145347194616735
1.618,287.0,100.0,7.0,0.008213411519856587,0.5423219484607149,0.5492286379170561
1.618,287.7,100.0,8.0,0.008233444230880627,0.4663884297194271,0.475515265503029
1.624,284.0,100.0,1.0,0.008157688259423796,0.6448002811951674,0.6471529466023833
1.624,284.2,100.0,2.0,0.008163433110310715,0.5837842090597665,0.5864402930353556
1.624,284.6,100.0,3.0,0.008174922812084552,0.498895395449654,0.50445241743951
1.634,250.0,100.0,0.0,0.0072252700288470495,0.794809164722332,0.7958525353048157
1.67,288.6,100.0,9.0,0.008524564415710608,0.4916531466866663,0.5041083051051678
