sam_th	R	wavelength
2.000000000000000000e+00	8.659974815180481178e-01	1.350000000000000000e+01
3.000000000000000000e+00	8.054867299257122415e-01	1.350000000000000000e+01
4.000000000000000000e+00	7.465997638857077012e-01	1.350000000000000000e+01
5.000000000000000000e+00	6.886788343497100007e-01	1.350000000000000000e+01
6.000000000000000000e+00	6.318232620029783364e-01	1.350000000000000000e+01
7.000000000000000000e+00	5.747021202760006497e-01	1.350000000000000000e+01
8.000000000000000000e+00	5.173827740715521983e-01	1.350000000000000000e+01
9.000000000000000000e+00	4.589981736418590197e-01	1.350000000000000000e+01
1.000000000000000000e+01	3.999224257436981844e-01	1.350000000000000000e+01
1.100000000000000000e+01	3.393646549432375870e-01	1.350000000000000000e+01
1.200000000000000000e+01	2.784735071115526095e-01	1.350000000000000000e+01
1.300000000000000000e+01	2.195358230788826137e-01	1.350000000000000000e+01
1.400000000000000000e+01	1.654390182610545046e-01	1.350000000000000000e+01
1.500000000000000000e+01	1.210892184271846056e-01	1.350000000000000000e+01
1.600000000000000000e+01	8.936422911506819444e-02	1.350000000000000000e+01
1.700000000000000000e+01	6.914362973971420467e-02	1.350000000000000000e+01
1.800000000000000000e+01	5.480940332628699702e-02	1.350000000000000000e+01
1.900000000000000000e+01	4.251978605702950303e-02	1.350000000000000000e+01
2.000000000000000000e+01	3.090265731717519934e-02	1.350000000000000000e+01
2.100000000000000000e+01	2.143927521409290035e-02	1.350000000000000000e+01
2.200000000000000000e+01	1.539093901585149998e-02	1.350000000000000000e+01
2.300000000000000000e+01	1.206463096052049974e-02	1.350000000000000000e+01
2.400000000000000000e+01	1.250678661392200068e-02	1.350000000000000000e+01
2.500000000000000000e+01	1.271930245474950025e-02	1.350000000000000000e+01
2.600000000000000000e+01	1.088410584707519974e-02	1.350000000000000000e+01
2.700000000000000000e+01	8.545134831319200347e-03	1.350000000000000000e+01
2.800000000000000000e+01	6.753708450390899683e-03	1.350000000000000000e+01
2.900000000000000000e+01	5.509050380101399719e-03	1.350000000000000000e+01
3.000000000000000000e+01	3.937928257207099630e-03	1.350000000000000000e+01
3.100000000000000000e+01	3.125745108584800092e-03	1.350000000000000000e+01
3.200000000000000000e+01	3.284911055921200130e-03	1.350000000000000000e+01
3.300000000000000000e+01	4.291740311160799869e-03	1.350000000000000000e+01
3.400000000000000000e+01	5.281268876870200135e-03	1.350000000000000000e+01
3.500000000000000000e+01	5.104841877907599634e-03	1.350000000000000000e+01
3.600000000000000000e+01	3.630203763216799905e-03	1.350000000000000000e+01
3.700000000000000000e+01	1.651774492855699996e-03	1.350000000000000000e+01
3.800000000000000000e+01	1.660717069121499896e-03	1.350000000000000000e+01
3.900000000000000000e+01	1.572469078921600108e-03	1.350000000000000000e+01
4.000000000000000000e+01	8.658106448650999647e-04	1.350000000000000000e+01
1.000000000000000000e+00	9.281731279985128147e-01	1.350000000000000000e+01
2.000000000000000000e+00	8.662174970737400725e-01	1.350000000000000000e+01
3.000000000000000000e+00	8.055472455896842687e-01	1.350000000000000000e+01
4.000000000000000000e+00	7.463158763951857066e-01	1.350000000000000000e+01
5.000000000000000000e+00	6.880511903272916729e-01	1.350000000000000000e+01
6.000000000000000000e+00	6.309311434625164416e-01	1.350000000000000000e+01
7.000000000000000000e+00	5.736174379393103040e-01	1.350000000000000000e+01
8.000000000000000000e+00	5.160600469131656487e-01	1.350000000000000000e+01
9.000000000000000000e+00	4.576255087806304078e-01	1.350000000000000000e+01
1.000000000000000000e+01	3.984905337263737191e-01	1.350000000000000000e+01
1.100000000000000000e+01	3.380134809267684171e-01	1.350000000000000000e+01
1.200000000000000000e+01	2.771778532763451985e-01	1.350000000000000000e+01
1.300000000000000000e+01	2.184212264546674109e-01	1.350000000000000000e+01
1.400000000000000000e+01	1.648579205257438007e-01	1.350000000000000000e+01
1.500000000000000000e+01	1.206197570446772005e-01	1.350000000000000000e+01
1.600000000000000000e+01	8.903109806708639495e-02	1.350000000000000000e+01
1.700000000000000000e+01	6.904978594143630632e-02	1.350000000000000000e+01
1.800000000000000000e+01	5.497418002516459706e-02	1.350000000000000000e+01
1.900000000000000000e+01	4.293622681195000124e-02	1.350000000000000000e+01
2.000000000000000000e+01	3.138121886319589909e-02	1.350000000000000000e+01
2.100000000000000000e+01	2.187208671548769925e-02	1.350000000000000000e+01
2.200000000000000000e+01	1.564396048532830027e-02	1.350000000000000000e+01
